,precision,recall,f1-score,support
0,0.9112921475446933,0.9012981199641898,0.9062675818611455,4468.0
1,0.9201231660930991,0.9283625730994152,0.924224506504139,5472.0
accuracy,0.9161971830985915,0.9161971830985915,0.9161971830985915,0.9161971830985915
macro avg,0.9157076568188962,0.9148303465318025,0.9152460441826422,9940.0
weighted avg,0.9161536499085641,0.9161971830985915,0.9161529230730631,9940.0
